key,cn,en,zh-tw
fieldname.baseLevelFirstDepositCount,"一级首充人数","No. of Primary Account of First Deposit","一级首充人数"
fieldname.baseLevelFirstDepositAmount,"一级首充金额","Amount of Primary Account of First Deposit","一级首充金额"
fieldname.depositToWithdrawAmountDiff,"充提差","Deposit-Withdrawal Difference","充提差"
fieldname.depositToWithdrawAmountRatio,"充提差比","Deposit-Withdrawal Difference Radio","充提差比"
fieldname.companyProfitAmount,"营收金额","Revenue Amount","营收金额"
fieldname.onlineDepositSuccessCountRate,"线上充值订单成功率","Online Deposit Order Success Rate","线上充值订单成功率"
fieldname.onlineDepositSuccessAmountRate,"线上充值金额成功率","Online Deposit Amount Success Rate","线上充值金额成功率"
fieldname.newDepositAmount,"新增充值用户首笔充值","First Deposit of New Account Amount","新增充值用户首笔充值"
fieldname.multiDepositCount,"复充人数","No. of Repeat Deposit Account","复充人数"
fieldname.multiDepositAmount,"复充金额","Repeat Deposit Amount","复充金额"
fieldname.depositAndBetAmount,"充值且投注金额","Deposit and Bet Amount","充值且投注金额"
fieldname.validBetAvgAmount,"人均投注金额","Bet Amount Per Account","人均投注金额"
fieldname.depositAndBetCount,"充值投注人数","No. of Bet Account with Deposit","充值投注人数"
fieldname.gameWinLossAmount,"游戏盈亏","Game Profit/Loss","游戏盈亏"
fieldname.companyProfitToDepositAmountRatio,"盈亏充值比","Deposit Profit/Loss Ratio","盈亏充值比"
fieldname.companyProfitToValidBetAmountRatio,"盈亏投注比","Bet Profit/Loss Ratio","盈亏投注比"
fieldname.validBetToDepositAmountRatio,"投注充值比","Bet-Deposit Ratio","投注充值比"
fieldname.companyProfitToVenueFeeAmountRatio,"盈亏税收比","Profit/Loss Tax Ratio","盈亏税收比"
fieldname.payoutAmount,"返奖金额","Payout Amount","返奖金额"
fieldname.venueFeeAmount,"游戏税收","Game Tax","游戏税收"
fieldname.winCountToValidBetCountRatio,"充值赢家数占比","Deposit Winners Ratio","充值赢家数占比"
fieldname.winCount,"赢家人数","No. of Winners","赢家人数"
fieldname.lossCount,"输家人数","No. of Losers","输家人数"
fieldname.winCountToLossCountRatio,"赢家数占比","Winners-Losers Ratio","赢家数占比"
fieldname.comissionAmount,"佣金","Commission","佣金"
fieldname.giveawayAmount,"赠送总金额","Total Giveaway Bonus Amount","赠送总金额"
fieldname.activityGiveawayAmount,"活动赠送金额","Event Giveaway Bonus Amount","活动赠送金额"
fieldname.systemGiveawayCount,"系统赠送人数","No.of System Giveaway Bonus Account","系统赠送人数"
fieldname.systemGiveawayAmount,"系统赠送金额","System Giveaway Bonus Amount","系统赠送金额"
fieldname.commissionCount,"佣金发放人数","No. of Commission Giveaway Bonus Account","佣金发放人数"
fieldname.vipRebateAmount,"vip等级返利","VIP Level Rebate","vip等级返利"
fieldname.date,"日期","Date","日期"
fieldname.boGiveawayCount,"后台账户赠送人数","No. of Backoffice Giveaway Bonus Account","后台账户赠送人数"
fieldname.boGiveawayAmount,"后台账户赠送金额","Backoffice Account Giveaway Bonus Amount","后台账户赠送金额"
fieldname.depositRebateCount,"充值返利赠送人数","No. of Deposit Rebate Bonus","充值返利赠送人数"
fieldname.depositRebateAmount,"充值返利赠送金额","Deposit Rebate Bonus Amount","充值返利赠送金额"
fieldname.otherGiveawayCount,"其他奖励人数","No. of Account of Other Rewards","其他奖励人数"
fieldname.otherGiveawayAmount,"其他奖励金额","Amount of Account of Other Rewards","其他奖励金额"
fieldname.dailyGiveawayCount,"每日礼金赠送人数","No. of Daily Bonus Account","每日礼金赠送人数"
fieldname.dailyGiveawayAmount,"每日礼金赠送金额","Daily Bonus Amount","每日礼金赠送金额"
fieldname.depositGiveawayCount,"充值红包赠送人数","No. of Deposit Red Pocket Bonus Account","充值红包赠送人数"
fieldname.depositGiveawayAmount,"充值红包赠送金额","Deposit Red Pocket Bonus Amount","充值红包赠送金额"
fieldname.autoGiveawayCount,"自动赠送彩金人数","No. of Automatic Giveaway Bonus Account","自动赠送彩金人数"
fieldname.autoGiveawayAmount,"自动赠送彩金金额","Automatic Giveaway Bonus Amount","自动赠送彩金金额"
fieldname.registerGiveawayCount,"注册赠送人数","No. of Registered Giveaway Bonus Account","注册赠送人数"
fieldname.registerGiveawayAmount,"注册赠送金额","Registration Giveaway Bonus Amount","注册赠送金额"
fieldname.bindPhoneGiveawayCount,"绑定手机赠送人数","No. of Registered Mobile Giveaway Bonus Account","绑定手机赠送人数"
fieldname.bindPhoneGiveawayAmount,"绑定手机赠送金额","Registered Mobile Giveaway Bonus Amount","绑定手机赠送金额"
fieldname.missionRewardCount,"任务奖励领取人数","No. of Account who have Collected Mission Reward","任务奖励领取人数"
fieldname.missionRewardAmount,"任务奖励领取金额","Collected Mission Reward Amount","任务奖励领取金额"
fieldname.grantCount,"补助金赠送人数","No. of Account Has Subsidy","补助金赠送人数"
fieldname.grantAmount,"补助金赠送金额","Subsidy Amount","补助金赠送金额"
fieldname.redPocketCount,"红包赠送人数","No. of Deposit Red Pocket Bonus Account","红包赠送人数"
fieldname.redPocketAmount,"红包赠送金额","Deposit Red Pocket Bonus Amount","红包赠送金额"
fieldname.vipRewardCount,"VIP奖励人数","No. of VIP Incentive Account","VIP奖励人数"
fieldname.vipRewardAmount,"VIP奖励金额","VIP Incentive Amount","VIP奖励金额"
fieldname.insuranceCount,"保险金人数","No. of Account Has Insurance","保险金人数"
fieldname.insuranceAmount,"保险金金额","Insurance Amount","保险金金额"
fieldname.multiDepositGiveawayCount,"连续充值红包人数","No. of Consecutive Deposit Red Pocket Account","连续充值红包人数"
fieldname.multiDepositGiveawayAmount,"连续充值红包赠送金额","Consecutive Deposit Red Pocket Amount","连续充值红包赠送金额"
fieldname.mailGiveawayCount,"邮件赠送人数","No. of Email Giveaway Bonus Account","邮件赠送人数"
fieldname.mailGiveawayAmount,"邮件赠送金额","Email Giveaway Bonus Amount","邮件赠送金额"
fieldname.giveawayTotalAmount,"赠送总金额","Total Giveaway Bonus Amount","赠送总金额"
fieldname.giveawayToProfitAmountRatio,"赠送营收比","Gift Revenue Ratio","赠送营收比"
fieldname.depositSuccessCount,"平台成功充值人数","No. of Platform Successful Deposit Account","平台成功充值人数"
fieldname.depositSuccessAmount,"平台成功充值金额","Platform Successful Deposit Amount","平台成功充值金额"
fieldname.depositTimes,"平台充值订单提交笔数","No. of Platform Deposit Order Submission","平台充值订单提交笔数"
fieldname.depositSuccessTimes,"平台订单充值成功笔数","No. of Platform Successful Deposit Order","平台订单充值成功笔数"
fieldname.depositSuccessToDepositTimesRatio,"平台充值笔数成功率","Success Rate of Platform Deposit Order","平台充值笔数成功率"
fieldname.newDepositSuccessCount,"新增用户成功充值人数","No. of New Account Successfully Deposited","新增用户成功充值人数"
fieldname.newDepositSuccessAmount,"新增用户成功充值金额","No. of New Account Successfully Deposited","新增用户成功充值金额"
fieldname.newDepositTimes,"新增用户充值订单提交笔数","No. of New Account Deposit Order Submission","新增用户充值订单提交笔数"
fieldname.newDepositSuccessTimes,"新增用户订单充值成功笔数","No. of New Account Successful Order Deposit","新增用户订单充值成功笔数"
fieldname.newDepositSuccessToFirstDepositTimesRatio,"新增用户充值笔数成功率","Success Rate of New Account Deposit Order","新增用户充值笔数成功率"
fieldname.oldDepositCount,"老用户充值订单提交人数","No. of Old Account Submitting Deposit Order","老用户充值订单提交人数"
fieldname.oldDepositSuccessCount,"老用户成功充值人数","No. of Successful Deposit by Old Account","老用户成功充值人数"
fieldname.oldDepositAmount,"老用户充值订单提交金额","Deposit Order Submission Amount for Old Account","老用户充值订单提交金额"
fieldname.oldDepositSuccessAmount,"老用户成功充值金额","Successful Deposit Amount for Old Account","老用户成功充值金额"
fieldname.oldDepositTimes,"老用户充值订单提交笔数","No. of Old Account Deposit Order Submission","老用户充值订单提交笔数"
fieldname.oldDepositSuccessTimes,"老用户订单充值成功笔数","No. of Successful Deposit By Old Account","老用户订单充值成功笔数"
fieldname.oldDepositSuccessToFirstDepositTimesRatio,"老用户充值笔数成功率","Success Rate of Old Account Deposit Order","老用户充值笔数成功率"
fieldname.onlineDepositCount,"线上充值充值订单提交人数","No. of Online Deposit Order Submission Account","线上充值充值订单提交人数"
fieldname.onlineDepositSuccessCount,"线上充值成功充值人数","No. of Successful Online Deposit Account","线上充值成功充值人数"
fieldname.onlineDepositAmount,"线上充值充值订单提交金额","Online Deposit Order Submission Amount","线上充值充值订单提交金额"
fieldname.onlineDepositSuccessAmount,"线上充值成功充值金额","Successful Deposit Amount","线上充值成功充值金额"
fieldname.onlineDepositTimes,"线上充值充值订单提交笔数","No. of Deposit Order Submission","线上充值充值订单提交笔数"
fieldname.onlineDepositSuccessTimes,"线上充值订单充值成功笔数","No. of Successful Online Deposit Order","线上充值订单充值成功笔数"
fieldname.onlineDepositSuccessToFirstDepositTimesRatio,"线上充值充值笔数成功率","Success Rate of Online Deposit Order","线上充值充值笔数成功率"
fieldname.resourceTotalCount,"资源人数","No. of Account Has Resource","资源人数"
fieldname.registerTotalCount,"已注册数","No. of Registered Account","已注册数"
fieldname.dailyRegisterCount,"当日注册人数","No. of Registered Account on Current Day","当日注册人数"
fieldname.dailyFirstDepositCount,"当日首充人数","No. of Deposited Account on Current Day","当日首充人数"
fieldname.dailyFirstDepositAmount,"当日充值金额","Deposit Amount on Current Day","当日充值金额"
fieldname.nextDayDepositToDepositTimesRatio,"次日充值率","Rate of Deposit on Next Day","次日充值率"
fieldname.nextDayBetRatio,"次日投注率","Rate of Bet on Next Day","次日投注率"
fieldname.nextDayDepositAmount,"次日充值金额","Deposit Amount on Next Day","次日充值金额"
fieldname.3DaysDepositRatio,"3日充值率","Last 3 Days Rate of Deposit","3日充值率"
fieldname.threeDaysDepositRatio,"3日充值率","Last 3 Days Rate of Deposit","3日充值率"
fieldname.3DaysBetRatio,"3日投注率","Last 3 Days Rate of Bet","3日投注率"
fieldname.threeDaysBetRatio,"3日投注率","Last 3 Days Rate of Bet","3日投注率"
fieldname.thirdDayDepositAmount,"3日充值金额","Last 3 Days Deposit Amount","3日充值金额"
fieldname.7DaysDepositRatio,"7日充值率","Last 7 Days Rate of Deposit","7日充值率"
fieldname.sevenDaysDepositRatio,"7日充值率","Last 7 Days Rate of Deposit","7日充值率"
fieldname.7DaysBetRatio,"7日投注率","Last 7 Days Rate of Deposit","7日投注率"
fieldname.sevenDaysBetRatio,"7日投注率","Last 7 Days Rate of Bet","7日投注率"
fieldname.seventhDayDepositAmount,"7日充值金额","Last 7 Days Deposit Amount","7日充值金额"
fieldname.30DaysDepositRatio,"30日充值率","Last 30 Days Rate of Deposit","30日充值率"
fieldname.thirtyDaysDepositRatio,"30日充值率","Last 30 Days Rate of Deposit","30日充值率"
fieldname.30DaysBetRatio,"30日投注率","Last 30 Days Rate of Deposit","30日投注率"
fieldname.thirtyDaysBetRatio,"30日投注率","Last 30 Days Rate of Deposit","30日投注率"
fieldname.thirtiethDayDepositAmount,"30日充值金额","Last 30 Days Deposit Amount","30日充值金额"
fieldname.thirtyDayDepositAmount,"30日充值金额","Last 3 Days Deposit Amount","30日充值金额"
fieldname.validBetFor2DaysCount,"次日投注人数","No. of Next Day Bet Account","次日投注人数"
fieldname.validBetFor2DaysAmount,"次日投注金额","Next Day Bet Amount","次日投注金额"
fieldname.validBetFor3DaysCount,"3日投注人数","No. of Last 3 Days Bet Account","3日投注人数"
fieldname.validBetFor3DaysAmount,"3日投注金额","Last 3 Days Bet Amount","3日投注金额"
fieldname.validBetFor7DaysCount,"7日投注人数","No. of Last 7 Days Bet Account","7日投注人数"
fieldname.validBetFor7DaysAmount,"7日投注金额","Last 7 Days Bet Amount","7日投注金额"
fieldname.validBetFor30DaysCount,"30日投注人数","No. of Last 30 Days Bet Account","30日投注人数"
fieldname.validBetFor30DaysAmount,"30日投注金额","Last 30 Days Bet Amount","30日投注金额"
fieldname.depositFor2DaysCount,"次日复充人数","No. of Next Day Repeat Deposit Account","次日复充人数"
fieldname.depositFor3DaysCount,"3日复充人数","No. of Last 3 Days Repeat Deposit Account","3日复充人数"
fieldname.depositFor7DaysCount,"7日复充人数","No. of Last 7 Days Repeat Deposit Account","7日复充人数"
fieldname.depositFor30DaysCount,"30日复充人数","No. of Last 30 Days Repeat Deposit Account","30日复充人数"
fieldname.newDepositTotalAmount,"新增充值总金额","Total New Deposit Amount","新增充值总金额"
fieldname.directTeamOnly,"团队","Team","团队"
fieldname.question,"问题","undefined","问题"
fieldname.answer,"答案","undefined","答案"
error.unsupportFileType,"请使用 jpg/ png","Please use in jpg/ png format.","请使用 jpg/ png"
error.noSpecialCharacter,"不包含任何特别字符","Not contain any special characters.","不包含任何特别字符"
error.wrongFilePath,"请上载图片","Please upload image.","请上载图片"
error.uploadFail,"上载失败","Upload Failed","上载失败"
error.loadImageFail,"加载图片失败","Failed to load the image","加载图片失败"
error.pleaseSelect,"请选择","Please select","请选择"
fieldValue.false,"停用","Disable","停用"
fieldValue.true,"啟用","Enable","啟用"
fieldValue.off,"停用","Disable","停用"
fieldValue.on,"啟用","Enable","啟用"
fieldValue.disabled,"停用","Disable","停用"
fieldValue.enabled,"啟用","Enable","啟用"
fieldValue.Disabled,"停用","Disable","停用"
fieldValue.Enabled,"啟用","Enable","啟用"
fieldValue.Ongoing,"進行中","In Progress","進行中"
fieldValue.Showing,"顯示中","Displaying","顯示中"
fieldValue.inprogress,"進行中","In Progress","進行中"
fieldValue.displaying,"顯示中","Displaying","顯示中"
fieldValue.ResetPassword,"重置登录密码","Reset Password","重置登录密码"
fieldValue.DeleteBank,"删除银行卡","Delete Wallet Address","删除银行卡"
fieldValue.DeleteAddress,"删除银包地址","Delete Wallet Address","删除银包地址"
fieldValue.DeletePhone,"删除手机号","Delete Mobile No.","删除手机号"
fieldValue.DeleteMail,"删除邮箱","Delete Email","删除邮箱"
fieldValue.EditName,"绑定姓名","Edit Registered Name","绑定姓名"
fieldValue.create,"新增","Add","新增"
fieldValue.viewCert,"查看凭证","View Proof","查看凭证"
fieldValue.viewPlan,"查看方案","View Program","查看方案"
fieldValue.view,"查看","View","查看"
fieldValue.edit,"编辑","Edit","编辑"
fieldValue.delete,"删除","Delete","删除"
fieldValue.home,"首页","Home Page","首页"
fieldValue.lobby,"活动大厅","Lobby","活动大厅"
fieldValue.vip,"VIP页","VIP Page","VIP页"
fieldValue.close,"关闭","Off","关闭"
fieldValue.open,"开启","On","开启"
fieldValue.EveryTimeBeforeLogin,"登录前每次","Every Time Before Login","登录前每次"
fieldValue.OnceAfterLogin,"登录后首次","First Time After Login","登录后首次"
fieldValue.EveryTimeAfterLogin,"登录后每次","Every Time After Login","登录后每次"
fieldValue.blacklistHistory,"拉黑日志","Blacklist Log","拉黑日志"
fieldValue.blacklistDisabled,"正常","Normal","正常"
fieldValue.blacklistEnabled,"已拉黑","Blacklisted","已拉黑"
fieldValue.blacklistDisable," 取消拉黑","Cancel Blacklist"," 取消拉黑"
fieldValue.blacklistEnable,"确定拉黑","Confirm to Blacklist","确定拉黑"
fieldValue.freezeStatus,"冻结状态","Freezing Status","冻结状态"
fieldValue.vendorID,"游戏供应商","Game Provider","游戏供应商"
fieldValue.prefix,"账号前坠","Account Prefix","账号前坠"
fieldValue.maintime,"维护时间","Maintenance Time","维护时间"
fieldValue.demo,"支持试玩","Support Trial","支持试玩"
fieldValue.RemarkNotMatch,"附言不符合","The comment does not match.","附言不符合"
fieldValue.AmountNotMatch,"金额不符合","The amount does not match.","金额不符合"
fieldValue.NameNotMatch,"姓名不符合","The name does not match.","姓名不符合"
fieldValue.BankCardNotMatch,"银行卡不符合","The bank card does not match.","银行卡不符合"
fieldValue.PendingManual,"公司-待审核","Company-Pending Review","公司-待审核"
fieldValue.ManualFailed,"公司-失败","Company-Failed","公司-失败"
fieldValue.ManualSuccess,"公司-成功","Company-Success","公司-成功"
fieldValue.PendingPayment,"三方-支付中","Third-Party-Payment Processing","三方-支付中"
fieldValue.PaymentFailed,"三方-失败","Third-Party-Failed","三方-失败"
fieldValue.PaymentSuccess,"三方-成功","Third-Party-Success","三方-成功"
fieldValue.PendingPaymentWithdraw,"待出款","Pending Withdrawal","待出款"
fieldValue.PendingApprovalWithdraw,"待审核","Pending Audit","待审核"
fieldValue.SuccessWithdraw,"成功","Success","成功"
fieldValue.FailedWithdraw,"失败","Failed","失败"
fieldValue.RejectedWithdraw,"拒绝","Rejected","拒绝"
fieldValue.CentralBankMaintenance,"央行维护中，请查看最新公告。","During the maintenance of the central bank, please check the latest announcement.","央行维护中，请查看最新公告。"
fieldValue.BankAccountInfoError,"您的银行账户信息异常，请重新检查。","Your bank account information is abnormal, please check again.","您的银行账户信息异常，请重新检查。"
fieldValue.Member,"会员","Member","会员"
fieldValue.Agent,"代理","Agent","代理"
fieldValue.Chess,"棋牌","Arcade","棋牌"
fieldValue.Electronic,"电子","Slot","电子"
fieldValue.Sport,"体育","Sports","体育"
fieldValue.Lottery,"彩票","Lottery","彩票"
fieldValue.Real,"真人","Live","真人"
fieldValue.Fish,"捕鱼","Fish","捕鱼"
fieldValue.Total,"總計","Total","總計"
fieldValue.WeeklyProfit,"每週礼金","Weekly Bonus","每週礼金"
fieldValue.MonthlyProfit,"每月礼金","Monthly Bonus","每月礼金"
fieldValue.BirthdayProfit,"生日礼金","Birthday Bonus","生日礼金"
fieldValue.SportRebate,"体育返水","Sports Rebate","体育返水"
fieldValue.AttendanceProfit,"出席礼金","Attendance Bonus","出席礼金"
fieldValue.RealRebate,"真人返水","Live Rebate","真人返水"
fieldValue.LotteryRebate,"彩票返水","Lottery Rebate","彩票返水"
fieldValue.ChessRebate,"棋牌返水","Arcade Rebate","棋牌返水"
fieldValue.ElectronicRebate,"电子返水","Slot Rebate","电子返水"
fieldValue.FirstDeposit,"首次充值","First Time Deposit","首次充值"
fieldValue.FishRebate,"捕鱼返水","Fish Rebate","捕鱼返水"
fieldValue.NegativeProfit,"负盈利","Negative Profit Reward","负盈利"
fieldValue.DailyDeposit,"每日充值","Daily Deposit","每日充值"
fieldValue.RedPocketRain,"红包雨","Red Pocket Rain","红包雨"
fieldValue.PrizeWheel,"獎輪","Prize Wheel","獎輪"
fieldValue.upgrade_profit,"升级礼金","Upgrading Reward","升级礼金"
fieldValue.weekly_profit,"每週礼金","Weekly Bonus","每週礼金"
fieldValue.monthly_profit,"每月礼金","Monthly Bonus","每月礼金"
fieldValue.birthday_profit,"生日礼金","Birthday Bonus","生日礼金"
fieldValue.attendance_profit,"出席礼金","Participation Bonus","出席礼金"
fieldValue.sport_rebate,"体育返水","Sports Rebate","体育返水"
fieldValue.real_rebate,"真人返水","Live Rebate","真人返水"
fieldValue.lottery_rebate,"彩票返水","Lottery Rebate","彩票返水"
fieldValue.chess_rebate,"棋牌返水","Arcade Rebate","棋牌返水"
fieldValue.electronic_rebate,"电子返水","Slot Rebate","电子返水"
fieldValue.fish_rebate,"捕鱼返水","Fish Rebate","捕鱼返水"
fieldValue.manaul_giveaway,"赠送彩金","Giveaway Bonus","赠送彩金"
fieldValue.Approving,"审核中","Reviewing","审核中"
fieldValue.Success,"成功","Success","成功"
fieldValue.Failed,"失败","Failed","失败"
fieldValue.PendingApproval,"待审核","Pending Review","待审核"
fieldValue.Online,"在线","Online","在线"
fieldValue.Idle,"闲置","Inactive","闲置"
fieldValue.Offline,"离线","Offline","离线"
fieldValue.gamemgt_maintainence,"维护","Maintenance","维护"
fieldValue.gamemgt_online,"运营","Operating","运营"
fieldValue.gamemgt_offline,"下架","Offline","下架"
fieldValue.Pending,"待处理","Pending For Processing","待处理"
fieldValue.Handled,"已处理","Processed","已处理"
fieldValue.NoLogin,"不可登录","Unable to Login","不可登录"
fieldValue.NoTransaction,"资金冻结","Frozen Deposit","资金冻结"
fieldValue.NoTransactionButBet,"只可投注","Bet Only","只可投注"
fieldValue.FreezeNoLogin,"不可登录","Unable to Login","不可登录"
fieldValue.FreezeNoTransaction,"资金冻结","Frozen Deposit","资金冻结"
fieldValue.FreezeNoTransactionButBet,"只可投注","Bet Only","只可投注"
separateField.levelKey,"第 {{value}} 層","Level {{value}} ","第 {{value}} 層"
placeholder.title,"请输入标题","Please enter the title.","请输入标题"
placeholder.link,"请依照规则输入链接","Please enter the link according to the rules.","请依照规则输入链接"
placeholder.remark,"请输入备注","Please enter the remarks.","请输入备注"
placeholder.keyword,"请输入关键字","Please enter key words.","请输入关键字"
placeholder.integer,"请输入正整数","Please enter the positive integer.","请输入正整数"
placeholder.platformID,"请选择现合网","Please select the opt site.","请选择现合网"
placeholder.engIntInput,"请以英文逗号分开多个输入值","Please separate multiple input values ​​in English comma.","请以英文逗号分开多个输入值"
placeholder.account,"请输入登录账号","Please enter the login account.","请输入登录账号"
placeholder.announcementTag,"请输入公告标签名称","Please enter the announcement tag name.","请输入公告标签名称"
placeholder.order,"请输入排序值","Please enter the sort value.","请输入排序值"
placeholder.usernames,"请输入会员账号","Please enter the member account.","请输入会员账号"
placeholder.deviceID,"请输入设备号","Please enter the device no.","请输入设备号"
placeholder.bankAccount,"请输入银行卡号","Please enter the bank card no.","请输入银行卡号"
placeholder.walletAddress,"请输入钱包地址","Please enter the wallet address.","请输入钱包地址"
placeholder.ip,"请输入IP地址","Please enter the IP address.","请输入IP地址"
placeholder.content,"请输入内容","Please enter the content.","请输入内容"
login.zh-CN,"简体中文","简体中文","简体中文"
login.zh-TW,"繁體中文","繁體中文","繁體中文"
login.en-US,"English","English","English"
login.login,"登入","Login","登入"
login.account,"帐户","Account","帐户"
login.password,"密码","Password","密码"
button_upload_image,"上传图片","Upload Photo","上传图片"
button_upload_attachment,"上传凭证","Upload Proof","上传凭证"
